date,equity_call_oi,equity_put_oi,equity_pcr_oi,index_call_oi,index_put_oi,index_pcr_oi,occ_total_oi
2024-12-09,288634360,233886156,0.8103,19513016,20763960,1.0641,563165117
2024-12-10,293892051,237180513,0.807,19732282,20905917,1.0595,572080096
2024-12-11,298644669,240795872,0.8063,20110061,21112453,1.0498,581027360
2024-12-12,302823702,243617950,0.8045,20554894,21319579,1.0372,588683062
2024-12-13,294384804,238196188,0.8091,20767003,21291176,1.0252,575007313
2024-12-16,298549569,242727902,0.813,21058085,21620409,1.0267,584320646
2024-12-17,303599424,245661257,0.8092,21454569,22002125,1.0255,593071781
2024-12-18,309104060,247196690,0.7997,18475204,20536867,1.1116,595640362
2024-12-19,312965286,248421419,0.7938,18777583,21075298,1.1224,601567747
2024-12-20,257788433,204132553,0.7919,15394745,16297170,1.0586,493904205
2024-12-23,263777326,207744281,0.7876,15608146,16420970,1.0521,503836826
2024-12-24,266112681,209920928,0.7888,15703869,16478496,1.0493,508493102
2024-12-26,269777877,212100781,0.7862,15858698,16652886,1.0501,514676518
2024-12-27,261805037,207811891,0.7938,16004476,16637484,1.0396,502544094
2024-12-30,266793171,210510210,0.789,16156262,16805996,1.0402,510554114
2024-12-31,268169274,210812631,0.7861,15869874,16274610,1.0255,511414512
2025-01-02,272567022,213482283,0.7832,16080664,16531569,1.028,518957730
2025-01-03,268154465,211359836,0.7882,16089407,16424431,1.0208,512329045
2025-01-06,275636172,216444586,0.7853,16316807,16635594,1.0195,525334904
2025-01-07,280194143,220195338,0.7859,17125191,17173213,1.0028,534993106
2025-01-08,285585504,223495824,0.7826,17239248,17262798,1.0014,543895040
2025-01-09,285267618,223266804,0.7827,17196474,17223841,1.0016,543266089
2025-01-10,279134913,221155289,0.7923,17509315,17385470,0.9929,535504639
2025-01-13,285248799,224203480,0.786,17641545,17713810,1.0041,545130935
2025-01-14,291107050,227749037,0.7824,17847450,17955546,1.0061,554981115
2025-01-15,296629887,231483878,0.7804,18197814,18321981,1.0068,564967321
2025-01-16,300824513,233581778,0.7765,18792297,18590642,0.9893,572129781
2025-01-17,196924048,159667272,0.8108,18213132,16506940,0.9063,391657067
2025-01-21,204910823,164991038,0.8052,18795251,16703144,0.8887,405774094
2025-01-22,210848957,169412994,0.8035,15738084,15797154,1.0038,412124552
2025-01-23,216655222,174321043,0.8046,16095860,16118554,1.0014,423531108
2025-01-24,209803006,169500516,0.8079,16171475,16015678,0.9904,411837441
2025-01-27,217331540,174872092,0.8046,16291945,16388626,1.0059,425233615
2025-01-28,223159240,178745890,0.801,16496395,16451689,0.9973,435195384
2025-01-29,228174611,182593608,0.8002,16779648,16524424,0.9848,444411906
2025-01-30,234099432,187427149,0.8006,17479239,16821503,0.9624,456170501
2025-01-31,223816746,179740158,0.8031,17519937,16623388,0.9488,438043260
2025-02-03,230139257,184181564,0.8003,17680892,16864917,0.9538,449209934
2025-02-04,235672942,188591914,0.8002,17899108,17083387,0.9544,459585151
2025-02-05,241394567,192250505,0.7964,18202042,17314951,0.9513,469504803
2025-02-06,246012430,195904614,0.7963,18427825,17501300,0.9497,478205074
2025-02-07,236387416,190001849,0.8038,18553335,17485894,0.9425,462797815
2025-02-10,242452435,194155826,0.8008,18724643,17604304,0.9402,473315790
2025-02-11,247726764,198086496,0.7996,18889827,17774426,0.941,482852313
2025-02-12,252817575,201807846,0.7982,18942379,17976253,0.949,491926370
2025-02-13,258116346,205564291,0.7964,19197879,18282728,0.9523,501554867
2025-02-14,251235092,199797730,0.7953,19360857,18311443,0.9458,489110819
2025-02-18,258258903,204974313,0.7937,19955454,18502037,0.9272,502105150
2025-02-19,263308598,209508573,0.7957,16643636,17774192,1.0679,507619861
2025-02-20,268623960,213298025,0.794,17045627,18160073,1.0654,517518240
2025-02-21,226493689,182984946,0.8079,16724699,16840839,1.0069,443441860
2025-02-24,233841596,187844449,0.8033,16864941,17064172,1.0118,456008852
2025-02-25,241046407,192712878,0.7995,17163963,17497969,1.0195,468827853
2025-02-26,247219051,197335880,0.7982,17271055,17562464,1.0169,479784826
2025-02-27,252637739,200614882,0.7941,17972927,17800530,0.9904,489432566
2025-02-28,240359894,192934996,0.8027,18082484,17762672,0.9823,469530127
2025-03-03,246737212,197626230,0.801,18365065,18063282,0.9836,481196829
2025-03-04,252835293,202148312,0.7995,18692431,18702495,1.0005,492791339
2025-03-05,258484595,205620760,0.7955,19269325,18855932,0.9785,502620312
2025-03-06,264040312,208743392,0.7906,19539266,19314237,0.9885,512040154
2025-03-07,254357406,204001753,0.802,19513589,19252181,0.9866,497526735
2025-03-10,261562949,209203156,0.7998,19905548,19801958,0.9948,510890923
2025-03-11,266678182,213300028,0.7998,20356857,20629025,1.0134,521374971
2025-03-12,271338709,216059948,0.7963,20599598,20906372,1.0149,529294717
2025-03-13,276099024,218672248,0.792,20999329,21366766,1.0175,537524108
2025-03-14,268185417,214009639,0.798,21060168,21391466,1.0157,525022572
2025-03-17,273248309,217806188,0.7971,21398481,21534558,1.0064,534356285
2025-03-18,277301432,220255903,0.7943,18395212,19404085,1.0548,535677944
2025-03-19,281603742,223892843,0.7951,18840265,19894556,1.056,544555473
2025-03-20,285270902,225485780,0.7904,19086536,20143376,1.0554,550310929
2025-03-21,224774468,182689599,0.8128,16496814,16559376,1.0038,440843517
2025-03-24,231769639,187509306,0.809,16879480,16753198,0.9925,453231119
2025-03-25,236472980,191258353,0.8088,17361861,16977178,0.9778,462395662
2025-03-26,240888066,194851281,0.8089,17562466,17260304,0.9828,470886454
2025-03-27,245573424,198175409,0.807,17747160,17374340,0.979,479199547
2025-03-28,237252328,193867650,0.8171,17884758,17332312,0.9691,466669344
2025-03-31,240363158,196194772,0.8162,17755982,17246047,0.9713,471891899
2025-04-01,245038012,200155591,0.8168,17989669,17477540,0.9715,480999720
2025-04-02,249531273,203455771,0.8154,18317686,17765669,0.9699,489413766
2025-04-03,256005631,207434078,0.8103,18654076,18353285,0.9839,500818768
2025-04-04,251494238,204821138,0.8144,19112187,19050008,0.9967,494872893
2025-04-07,258532798,209096480,0.8088,19194785,19691052,1.0259,506924469
2025-04-08,264137304,214253995,0.8111,19425076,20219649,1.0409,518438105
2025-04-09,270682848,219139753,0.8096,19716040,20711008,1.0505,530628896
2025-04-10,276461875,223381797,0.808,20007904,21005504,1.0499,541230322
2025-04-11,269724908,216616872,0.8031,20257056,21082800,1.0408,528048484
2025-04-14,274658955,219978057,0.8009,20533424,21440001,1.0442,536962640
2025-04-15,278398853,222018657,0.7975,20636206,21840491,1.0584,543249966
2025-04-16,283053550,222526991,0.7862,17610653,19495978,1.1071,542990016
2025-04-17,233148027,191780808,0.8226,16711485,17963941,1.0749,459898617
2025-04-21,238979055,195699294,0.8189,16936962,18220238,1.0758,470133572
2025-04-22,244684242,199683973,0.8161,17254836,18565538,1.076,480479023
2025-04-23,250110854,204106856,0.8161,17478744,18752703,1.0729,490740020
2025-04-24,255459153,208074724,0.8145,17577379,19028888,1.0826,500429964
2025-04-25,247547361,201401803,0.8136,17616867,19077474,1.0829,485930081
2025-04-28,252810440,205550835,0.8131,17681770,19211085,1.0865,495543356
2025-04-29,256645531,209193985,0.8151,17901482,19454101,1.0867,503490308
2025-04-30,259095633,212105291,0.8186,17825417,19253632,1.0801,508574792
2025-05-01,263472751,215934356,0.8196,17934847,19438737,1.0839,517077031
2025-05-02,255558632,209357555,0.8192,17876999,19331548,1.0814,502420332
2025-05-05,260832171,213449216,0.8183,18079727,19472675,1.077,512127442
2025-05-06,265327997,217041223,0.818,18238218,19688928,1.0795,520591937
2025-05-07,269427633,219985987,0.8165,18388031,19875048,1.0809,527969182
2025-05-08,274805794,224033983,0.8152,18725877,20085279,1.0726,537942369
2025-05-09,268342564,219403037,0.8176,18976510,19950162,1.0513,526967768
2025-05-12,274063265,223940169,0.8171,19339883,20124690,1.0406,537759950
2025-05-13,280670618,229244642,0.8168,19578467,20444291,1.0442,550231751
2025-05-14,285766252,233403842,0.8168,19807847,20647829,1.0424,559921908
2025-05-15,290381229,237537202,0.818,20214443,20897797,1.0338,569334251
2025-05-16,245604712,198511383,0.8083,19620880,19258693,0.9815,483300607
2025-05-19,251818943,203322275,0.8074,19789159,19513032,0.986,494752784
2025-05-20,257009277,207122514,0.8059,20093818,19710731,0.9809,504252367
2025-05-21,261799222,211388769,0.8074,17680135,18469434,1.0446,509622166
2025-05-22,266578737,214875297,0.806,18004848,18718720,1.0396,518459080
2025-05-23,258827056,208852039,0.8069,18043736,18738403,1.0385,504744318
2025-05-27,264653576,213265711,0.8058,18336749,19044069,1.0386,515576625
2025-05-28,269507748,217164580,0.8058,18582657,19154962,1.0308,524687685
2025-05-29,273702527,220958571,0.8073,18746651,19288580,1.0289,532972983
2025-05-30,263967102,213803632,0.81,18600750,18651134,1.0027,515308274
2025-06-02,269251195,217325897,0.8071,18844537,18881265,1.0019,524592984
2025-06-03,274206283,221070603,0.8062,19062417,19264014,1.0106,533902294
2025-06-04,278738618,224452053,0.8052,19209414,19391326,1.0095,542097603
2025-06-05,283394021,229133612,0.8085,19485098,19654598,1.0087,551987221
2025-06-06,275716493,224029930,0.8125,19563564,19702391,1.0071,539338283
2025-06-09,282117416,228105387,0.8085,19731623,19979133,1.0125,550266745
2025-06-10,286609464,231993804,0.8094,20013890,20457649,1.0222,559411986
2025-06-11,290495740,235857479,0.8119,20303014,20745653,1.0218,567743929
2025-06-12,294214341,239263221,0.8132,20639455,21076891,1.0212,575540248
2025-06-13,284473862,234070693,0.8228,20880515,21155875,1.0132,560923823
2025-06-16,289929076,238079313,0.8212,21152662,21498377,1.0163,571000630
2025-06-17,293856985,241636422,0.8223,21470090,21931539,1.0215,579240549
2025-06-18,297128591,245283731,0.8255,18859280,20625793,1.0937,582214568
2025-06-20,230639273,187634045,0.8135,15886397,16544523,1.0414,451021451
2025-06-23,237379585,192171430,0.8096,16108182,16908552,1.0497,462887159
2025-06-24,243885793,196771968,0.8068,16564711,17368214,1.0485,474920117
2025-06-25,249859915,200797119,0.8036,16694351,17461445,1.0459,485152293
2025-06-26,256155191,205402750,0.8019,17004488,17803515,1.047,496716025
2025-06-27,249834907,200265364,0.8016,17284380,17785678,1.029,485529387
2025-06-30,254782883,203715913,0.7996,17284083,17430829,1.0085,493606534
2025-07-01,259719657,208079239,0.8012,17550449,17693642,1.0082,503424719
2025-07-02,264072170,212006410,0.8028,17753518,17865714,1.0063,512089482
2025-07-03,257018453,206738451,0.8044,17872379,17945739,1.0041,499980756
2025-07-07,262340773,210924680,0.804,18103293,18112649,1.0005,509885093
2025-07-08,267102316,214744239,0.804,18220186,18334324,1.0063,518807934
2025-07-09,272095469,219105415,0.8053,18456308,18563231,1.0058,528631426
2025-07-10,277155075,223239440,0.8055,18738864,18774227,1.0019,538326469
2025-07-11,270445950,218791899,0.809,18894156,18685680,0.989,527238966
2025-07-14,275709729,223373835,0.8102,19078108,18844823,0.9878,537470952
2025-07-15,280440226,227879769,0.8126,19365303,19135029,0.9881,547259300
2025-07-16,285278426,232116114,0.8136,16772918,17789438,1.0606,552354708
2025-07-17,291027796,237303560,0.8154,17019512,18219834,1.0705,563977280
2025-07-18,246618020,200267940,0.8121,16561172,16822728,1.0158,480694426
2025-07-21,255095673,206463975,0.8094,16837923,17079055,1.0143,495886942
2025-07-22,261782512,210933278,0.8058,17004042,17451178,1.0263,507586306
2025-07-23,268944276,216263280,0.8041,17225414,17716322,1.0285,520571111
